Squat,Bench,Deadlift,Total,Gender,Private
308,254,407,969,,
345,265,475,1085,,
260,355,310,925,,
440,290,540,1270,,
475,405,565,1445,,
385,320,495,1200,,
475,405,440,1320,,
330,260,475,1065,,
275,200,315,790,,
435,255,410,1100,,
500,330,545,1375,,
325,280,445,1050,,
270,185,295,750,,
280,285,340,905,,
225,170,300,695,,
405,245,495,1145,,
315,252.5,315,882.5,,
200,155,350,705,,
335,265,475,1075,,
300,225,457,982,,
365,295,445,1105,,
345,250,425,1020,,
115,,190,305,,
700,405,500,1605,,
435,315,405,1155,,
365,215,420,1000,,
,340,,340,,
350,235,385,970,,
465,295,510,1270,,
385,315,490,1190,,
315,225,405,945,,
315,255,375,945,,
205,100,305,610,,
415,255,455,1125,,
480,315,505,1300,,
336,242,476,1054,,
300,220,375,895,,
315,225,365,905,,
325,265,415,1005,,
295,205,365,865,,
715,460,750,1925,,
195,130,245,570,,
165,155,355,675,,
485,340,495,1320,,
355,340,405,1100,,
425,355,495,1275,,
,302,,302,,
220,172,300,692,,
220,200,290,710,,
,,330,330,,
275,195,415,885,,
245,145,275,665,,
421,289,465,1175,,
430,350,530,1310,,
425,305,405,1135,,
285,235,365,885,,
300,265,365,930,,
385,275,455,1115,,
405,325,455,1185,,
440,297,518,1255,,
430,265,455,1150,,
308,209,363,880,,
300,200,340,840,,
455,300,515,1270,,
395,235,475,1105,,
315,255,355,925,,
253,170,308,731,,
355,250,455,1060,,
275,205,305,785,,
335,235,405,975,,
400,255,415,1070,,
350,275,350,975,,
330,225,463,1018,,
610,395,607,1612,,
315,255,375,945,,
450,290,520,1260,,
425,300,400,1125,,
475,290,425,1190,,
545,515,585,1645,,
355,260,410,1025,,
320,232,463,1015,,
420,295,530,1245,,
172,132,231,535,,
525,375,640,1540,,
290,240,395,925,,
545,425,555,1525,Male,
341,242,385,968,Male,
352,275,396,1023,Male,
315,175,315,805,Female,
315,255,405,975,Male,
162,115,235,512,Female,
435,285,545,1265,Male,
463,300,540,1303,Male,
335,260,455,1050,Male,
